nodeisp	district	 ISP	count	average	stddev	min	max
82	Jaipur	Airtel	71	52.676	29.982	26	92
84	Jaipur	IDEA	107	28.28	1.999	26	34
86	Jaipur	MTNL	49	60.776	29.271	28	92
56	New Delhi 2	Reliance	453	38.349	34.611	12	90
50	New Delhi 2	Airtel	408	88.985	4.323	62	92
54	New Delhi 2	MTNL	348	75.672	26.112	14	92
58	New Delhi 3	Airtel	66	195.819	59.084	133.984	254.297
62	New Delhi 3	MTNL	130	197.685	58.735	133.984	254.297
21	Amarpur	IDEA	31	65.228	31.051	27.344	108.008
9	Amarpur	Airtel	29	31.681	8.321	9.57	50.586
33	Amarpur	MTNL	19	38.209	6.541	27.344	53.32
19	Dindori	IDEA	335	82.573	15.8	22	94
31	Dindori	MTNL	163	78.27	25.692	24	100
7	Dindori	Airtel	195	77.292	21.165	24	94
84	Jaipur	IDEA	208	41.096	11.445	28	62
86	Jaipur	MTNL	110	65.073	25.27	30	94
82	Jaipur	Airtel	134	60.418	24.536	30	94
12	Lamta	Airtel	22	28.276	8.601	13.672	42.383
36	Lamta	MTNL	29	32.86	4.404	27.344	41.016
48	Lamta	Reliance	31	32.636	0.458	31.445	32.812
50	New Delhi 2	Airtel	1495	71.291	20.612	41.016	94
54	New Delhi 2	MTNL	1164	59.398	28.368	12.305	92
56	New Delhi 2	Reliance	1441	41.254	25.207	17.773	92
35	Paraswada	MTNL	22	33.683	4.393	27.344	43.75
23	Paraswada	IDEA	32	47.382	6.464	31.445	61.523
11	Paraswada	Airtel	25	31.555	6.234	19.141	46.484
44	Samnapur	Reliance	419	32.724	0.336	31.445	32.812
32	Samnapur	MTNL	369	32.775	0.766	30.078	35.547
74	Sikar	Airtel	98	89.922	2.957	73.828	96
76	Sikar	IDEA	129	89.493	4.361	60	94.336
78	Sikar	MTNL	80	92.439	2.068	88.867	97.07
